id,category,firstType,secondType,tag
10,domain,SNS,BBS,夜生活
12,domain,垂直,财经,金融财经
16,domain,电商,B2C,文学阅读
18,domain,垂直,财经,科技资讯
19,domain,垂直,财经,金融财经
20,domain,垂直,财经,金融财经
21,domain,垂直,财经,金融财经
22,domain,垂直,财经,金融财经
23,domain,SNS,BBS,文学阅读
28,domain,SNS,BBS,时尚媒体
30,domain,垂直,其它,奢侈品
31,domain,垂直,其它,婚恋
32,domain,垂直,其它,文学阅读
33,domain,垂直,其它,摄影
35,domain,SNS,社交,社交
36,domain,垂直,IT科技,摄影
38,domain,SNS,其它,文学阅读
39,domain,垂直,财经,产业经济
41,domain,SNS,社交,社交
43,domain,门户,地方,社交
45,domain,垂直,财经,产业经济
46,domain,门户,综合,时事政治
49,domain,其它,其它,基础网服
52,domain,垂直,汽车,金融财经
53,domain,电商,B2C,电子商务
55,domain,垂直,其它,娱乐休闲
56,domain,垂直,游戏,游戏
57,domain,垂直,游戏,游戏
58,domain,门户,地方,时事政治
60,domain,垂直,其它,金融财经
63,domain,垂直,财经,产业经济
66,domain,垂直,IT科技,消费数码
67,domain,垂直,财经,金融财经
71,domain,垂直,汽车,新车资讯
74,domain,门户,新闻,时事政治
76,union,网盟,综合网盟,门户
79,app,垂直,文学,文学阅读
83,domain,垂直,汽车,新车资讯
84,domain,垂直,女性,时尚媒体
87,union,网盟,综合网盟,门户
90,union,网盟,综合网盟,门户
91,domain,垂直,汽车,旧车汽配
92,domain,其它,其它,文学阅读
95,domain,垂直,财经,产业经济
97,domain,门户,综合,娱乐休闲
99,domain,视频,UGC,影视视频
100,domain,垂直,生活,社交
108,domain,SNS,其它,文学阅读
112,domain,垂直,生活,摄影
118,domain,SNS,其它,文学阅读
119,domain,其它,其它,基础网服
124,domain,门户,综合,时事政治
125,domain,垂直,财经,产业经济
127,domain,垂直,财经,金融财经
129,domain,垂直,财经,金融财经
131,domain,垂直,财经,金融财经
133,domain,门户,地方,时事政治
135,domain,垂直,汽车,新车资讯
137,domain,视频,门户,影视视频
138,domain,视频,UGC,影视视频
140,domain,垂直,游戏,游戏
143,domain,门户,地方,夜生活
146,domain,垂直,汽车,旧车汽配
150,domain,垂直,汽车,新车资讯
151,domain,垂直,汽车,新车资讯
153,domain,门户,综合,社交
154,domain,垂直,汽车,旧车汽配
155,domain,垂直,汽车,新车资讯
156,domain,垂直,IT科技,科技资讯
157,domain,垂直,IT科技,科技资讯
163,domain,垂直,IT科技,科技资讯
164,domain,垂直,IT科技,消费数码
166,domain,垂直,IT科技,消费数码
170,domain,垂直,其它,招商引资
187,domain,垂直,体育,金融财经
189,domain,垂直,财经,金融财经
191,domain,SNS,其它,金融财经
192,domain,垂直,财经,金融财经
193,domain,垂直,财经,金融财经
195,domain,视频,客户端,影视视频
200,union,搜索,搜索,搜索导航
201,domain,搜索,搜索,门户
202,domain,垂直,IT科技,科技资讯
204,domain,垂直,IT科技,科技资讯
206,domain,垂直,财经,金融财经
208,domain,垂直,财经,金融财经
210,domain,垂直,生活,夜生活
211,domain,门户,综合,时事政治
212,domain,垂直,IT科技,科技资讯
215,domain,SNS,社交,婚恋
216,domain,垂直,体育,体育运动
219,domain,垂直,IT科技,科技资讯
221,domain,垂直,IT科技,科技资讯
222,domain,垂直,IT科技,消费数码
223,domain,垂直,生活,社交
224,domain,垂直,IT科技,消费数码
226,domain,垂直,游戏,社交
227,domain,门户,新闻,时事政治
229,domain,垂直,母婴,母婴
231,domain,门户,新闻,社交
232,domain,垂直,女性,靓丽女性
233,domain,垂直,母婴,母婴
234,domain,垂直,女性,靓丽女性
236,domain,垂直,母婴,母婴
240,domain,垂直,音乐,音乐乐器
241,domain,垂直,其它,动漫卡通
242,app,垂直,游戏,游戏
245,domain,垂直,女性,时尚媒体
246,domain,垂直,音乐,音乐乐器
248,domain,垂直,IT科技,科技资讯
250,domain,垂直,游戏,游戏
265,domain,垂直,游戏,游戏
266,domain,垂直,其它,靓丽女性
269,domain,垂直,财经,金融财经
270,domain,垂直,财经,金融财经
272,domain,垂直,游戏,游戏
